Código;Descripción corta;UdM base;Tipo;Perfil logístico
1S2VCKAI%ML39;PLATAFORMA CON DEDO;UN;CALZADO;
1S2VCKAI%ML40;PLATAFORMA CON DEDO;UN;CALZADO;
1S2VCKAI%NG35;PLATAFORMA CON DEDO;UN;CALZADO;
1S2VCKAI%NG36;PLATAFORMA CON DEDO;UN;CALZADO;
1S2VCKAI%NG37;PLATAFORMA CON DEDO;UN;CALZADO;
1S2VCKAI%NG38;PLATAFORMA CON DEDO;UN;CALZADO;
1S2VCKAI%NG39;PLATAFORMA CON DEDO;UN;CALZADO;
1S2VCKAI%NG40;PLATAFORMA CON DEDO;UN;CALZADO;
1S2VCKAI%OF35;PLATAFORMA CON DEDO;UN;CALZADO;
1S2VCKAI%OF36;PLATAFORMA CON DEDO;UN;CALZADO;
1S2VCKAI%OF37;PLATAFORMA CON DEDO;UN;CALZADO;
1S2VCKAI%OF38;PLATAFORMA CON DEDO;UN;CALZADO;
1S2VCKAI%OF39;PLATAFORMA CON DEDO;UN;CALZADO;
1S2VCKAI%OF40;PLATAFORMA CON DEDO;UN;CALZADO;
1S2VCKATH%BL35;BORCEGO CON CINTA SARKANY;UN;CALZADO;
1S2VCKATH%BL36;BORCEGO CON CINTA SARKANY;UN;CALZADO;
1S2VCKATH%BL37;BORCEGO CON CINTA SARKANY;UN;CALZADO;
1S2VCKATH%BL38;BORCEGO CON CINTA SARKANY;UN;CALZADO;
1S2VCKATH%BL39;BORCEGO CON CINTA SARKANY;UN;CALZADO;
1S2VCKATH%BL40;BORCEGO CON CINTA SARKANY;UN;CALZADO;
1S2VCKIARA%NG35;PLATAFORMA CON DEO;UN;CALZADO;
1S2VCKIARA%NG36;PLATAFORMA CON DEO;UN;CALZADO;
1S2VCKIARA%NG37;PLATAFORMA CON DEO;UN;CALZADO;
1S2VCKIARA%NG38;PLATAFORMA CON DEO;UN;CALZADO;
1S2VCKIARA%NG39;PLATAFORMA CON DEO;UN;CALZADO;
1S2VCKIARA%NG40;PLATAFORMA CON DEO;UN;CALZADO;
1S2VCKIARA%OF35;PLATAFORMA CON DEO;UN;CALZADO;
1S2VCKIARA%OF36;PLATAFORMA CON DEO;UN;CALZADO;
1S2VCKIARA%OF37;PLATAFORMA CON DEO;UN;CALZADO;
1S2VCKIARA%OF38;PLATAFORMA CON DEO;UN;CALZADO;
1S2VCKIARA%OF39;PLATAFORMA CON DEO;UN;CALZADO;
1S2VCKIARA%OF40;PLATAFORMA CON DEO;UN;CALZADO;
1S2VCKIMY%EP35;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%EP36;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%EP37;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%EP38;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%EP39;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%EP40;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%NG35;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%NG36;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%NG37;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%NG38;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%NG39;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%NG40;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%SQ35;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%SQ36;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%SQ37;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%SQ38;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%SQ39;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIMY%SQ40;PLATAFORMA CON ABROJOS;UN;CALZADO;
1S2VCKIND%NG35;PLATAFORMA CON APLIQUE;UN;CALZADO;
1S2VCKIND%NG36;PLATAFORMA CON APLIQUE;UN;CALZADO;
1S2VCKIND%NG37;PLATAFORMA CON APLIQUE;UN;CALZADO;
1S2VCKIND%NG38;PLATAFORMA CON APLIQUE;UN;CALZADO;
1S2VCKIND%NG39;PLATAFORMA CON APLIQUE;UN;CALZADO;
1S2VCKIND%NG40;PLATAFORMA CON APLIQUE;UN;CALZADO;
1S2VCLALU%NW35;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%NW36;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%NW37;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%NW38;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%NW39;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%NW40;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%OF35;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%OF36;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%OF37;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%OF38;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%OF39;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%OF40;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%QC35;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%QC36;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%QC37;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%QC38;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%QC39;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLALU%QC40;BIRK DEPORTIVA;UN;CALZADO;
1S2VCLASE%LR35;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%LR36;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%LR37;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%LR38;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%LR39;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%LR40;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%LV35;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%LV36;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%LV37;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%LV38;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%LV39;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%LV40;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%ML35;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%ML36;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%ML37;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%ML38;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%ML39;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%ML40;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%NG35;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%NG36;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%NG37;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%NG38;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%NG39;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%NG40;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%OF35;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%OF36;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%OF37;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%OF38;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%OF39;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%OF40;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%SQ35;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%SQ36;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%SQ37;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%SQ38;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%SQ39;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%SQ40;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%VD35;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%VD36;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%VD37;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%VD38;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%VD39;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLASE%VD40;PLATAFORMA CON TIRAS;UN;CALZADO;
1S2VCLAUTI%MB35;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%MB36;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%MB37;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%MB38;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%MB39;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%MB40;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%NG35;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%NG36;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%NG37;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%NG38;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%NG39;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%NG40;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%OF35;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%OF36;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%OF37;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%OF38;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%OF39;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLAUTI%OF40;FLAT CON HEBILLAS;UN;CALZADO;
1S2VCLEAN%NG35;BIRK CON MATELASEADO;UN;CALZADO;
1S2VCLEAN%NG36;BIRK CON MATELASEADO;UN;CALZADO;
1S2VCLEAN%NG37;BIRK CON MATELASEADO;UN;CALZADO;
1S2VCLEAN%NG38;BIRK CON MATELASEADO;UN;CALZADO;
1S2VCLEAN%NG39;BIRK CON MATELASEADO;UN;CALZADO;
1S2VCLEAN%NG40;BIRK CON MATELASEADO;UN;CALZADO;
1S2VCLEI%BL35;PLATAFORMA BIRK;UN;CALZADO;
1S2VCLEI%BL36;PLATAFORMA BIRK;UN;CALZADO;
1S2VCLEI%BL37;PLATAFORMA BIRK;UN;CALZADO;
1S2VCLEI%BL38;PLATAFORMA BIRK;UN;CALZADO;
1S2VCLEI%BL39;PLATAFORMA BIRK;UN;CALZADO;
1S2VCLEI%BL40;PLATAFORMA BIRK;UN;CALZADO;
1S2VCLEI%NG35;PLATAFORMA BIRK;UN;CALZADO;
1S2VCLEI%NG36;PLATAFORMA BIRK;UN;CALZADO;
1S2VCLEI%NG37;PLATAFORMA BIRK;UN;CALZADO;
1S2VCLEI%NG38;PLATAFORMA BIRK;UN;CALZADO;
1S2VCLEI%NG39;PLATAFORMA BIRK;UN;CALZADO;
1S2VCLEI%NG40;PLATAFORMA BIRK;UN;CALZADO;
1S2VCLORA%NG35;SANDALIA CON PASADORES;UN;CALZADO;
1S2VCLORA%NG36;SANDALIA CON PASADORES;UN;CALZADO;
1S2VCLORA%NG37;SANDALIA CON PASADORES;UN;CALZADO;
1S2VCLORA%NG38;SANDALIA CON PASADORES;UN;CALZADO;
1S2VCLORA%NG39;SANDALIA CON PASADORES;UN;CALZADO;
1S2VCLORA%NG40;SANDALIA CON PASADORES;UN;CALZADO;
1S2VCLUVLI%NG35;SANDALIA CON PULSERA GITANA;UN;CALZADO;
1S2VCLUVLI%NG36;SANDALIA CON PULSERA GITANA;UN;CALZADO;
1S2VCLUVLI%NG37;SANDALIA CON PULSERA GITANA;UN;CALZADO;
1S2VCLUVLI%NG38;SANDALIA CON PULSERA GITANA;UN;CALZADO;
1S2VCLUVLI%NG39;SANDALIA CON PULSERA GITANA;UN;CALZADO;
1S2VCLUVLI%NG40;SANDALIA CON PULSERA GITANA;UN;CALZADO;
1S2VCMASOL%NG35;PLATAFORMA CON CRUCE Y APLIQUES;UN;CALZADO;
1S2VCMASOL%NG36;PLATAFORMA CON CRUCE Y APLIQUES;UN;CALZADO;
1S2VCMASOL%NG37;PLATAFORMA CON CRUCE Y APLIQUES;UN;CALZADO;
1S2VCMASOL%NG38;PLATAFORMA CON CRUCE Y APLIQUES;UN;CALZADO;
1S2VCMASOL%NG39;PLATAFORMA CON CRUCE Y APLIQUES;UN;CALZADO;
1S2VCMASOL%NG40;PLATAFORMA CON CRUCE Y APLIQUES;UN;CALZADO;
1S2VCMELIN%NG35;SANDALIA CON HERRAJES;UN;CALZADO;
1S2VCMELIN%NG36;SANDALIA CON HERRAJES;UN;CALZADO;
1S2VCMELIN%NG37;SANDALIA CON HERRAJES;UN;CALZADO;
1S2VCMELIN%NG38;SANDALIA CON HERRAJES;UN;CALZADO;
1S2VCMELIN%NG39;SANDALIA CON HERRAJES;UN;CALZADO;
1S2VCMELIN%NG40;SANDALIA CON HERRAJES;UN;CALZADO;
1S2VCMENCI%MB35;SANDALIA CON NUDO;UN;CALZADO;
1S2VCMENCI%MB36;SANDALIA CON NUDO;UN;CALZADO;
1S2VCMENCI%MB37;SANDALIA CON NUDO;UN;CALZADO;
1S2VCMENCI%MB38;SANDALIA CON NUDO;UN;CALZADO;
1S2VCMENCI%MB39;SANDALIA CON NUDO;UN;CALZADO;
1S2VCMENCI%MB40;SANDALIA CON NUDO;UN;CALZADO;
1S2VCMENCI%NG35;SANDALIA CON NUDO;UN;CALZADO;
1S2VCMENCI%NG36;SANDALIA CON NUDO;UN;CALZADO;
1S2VCMENCI%NG37;SANDALIA CON NUDO;UN;CALZADO;
1S2VCMENCI%NG38;SANDALIA CON NUDO;UN;CALZADO;
1S2VCMENCI%NG39;SANDALIA CON NUDO;UN;CALZADO;
1S2VCMENCI%NG40;SANDALIA CON NUDO;UN;CALZADO;
1S2VCMIC%NG35;SANDALIA DE FAJA;UN;CALZADO;
1S2VCMIC%NG36;SANDALIA DE FAJA;UN;CALZADO;
1S2VCMIC%NG37;SANDALIA DE FAJA;UN;CALZADO;
1S2VCMIC%NG38;SANDALIA DE FAJA;UN;CALZADO;
1S2VCMIC%NG39;SANDALIA DE FAJA;UN;CALZADO;
1S2VCMIC%NG40;SANDALIA DE FAJA;UN;CALZADO;
1S2VCMINTY%NG35;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%NG36;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%NG37;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%NG38;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%NG39;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%NG40;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%OF35;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%OF36;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%OF37;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%OF38;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%OF39;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%OF40;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%QC35;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%QC36;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%QC37;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%QC38;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%QC39;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%QC40;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%VD35;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%VD36;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%VD37;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%VD38;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%VD39;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMINTY%VD40;BIRK CON ESTAMPA;UN;CALZADO;
1S2VCMOON%BN35;BOTA CON RECORTES;UN;CALZADO;
1S2VCMOON%BN36;BOTA CON RECORTES;UN;CALZADO;
1S2VCMOON%BN37;BOTA CON RECORTES;UN;CALZADO;
1S2VCMOON%BN38;BOTA CON RECORTES;UN;CALZADO;
1S2VCMOON%BN39;BOTA CON RECORTES;UN;CALZADO;
1S2VCMOON%BN40;BOTA CON RECORTES;UN;CALZADO;
1S2VCMOON%NG35;BOTA CON RECORTES;UN;CALZADO;
1S2VCMOON%NG36;BOTA CON RECORTES;UN;CALZADO;
1S2VCMOON%NG37;BOTA CON RECORTES;UN;CALZADO;
1S2VCMOON%NG38;BOTA CON RECORTES;UN;CALZADO;
1S2VCMOON%NG39;BOTA CON RECORTES;UN;CALZADO;
1S2VCMOON%NG40;BOTA CON RECORTES;UN;CALZADO;
1S2VCNASHA%NG35;BOTA ARRUGADA;UN;CALZADO;
1S2VCNASHA%NG36;BOTA ARRUGADA;UN;CALZADO;
1S2VCNASHA%NG37;BOTA ARRUGADA;UN;CALZADO;
1S2VCNASHA%NG38;BOTA ARRUGADA;UN;CALZADO;
1S2VCNASHA%NG39;BOTA ARRUGADA;UN;CALZADO;
1S2VCNASHA%NG40;BOTA ARRUGADA;UN;CALZADO;
1S2VCNASHA%OF35;BOTA ARRUGADA;UN;CALZADO;
1S2VCNASHA%OF36;BOTA ARRUGADA;UN;CALZADO;
1S2VCNASHA%OF37;BOTA ARRUGADA;UN;CALZADO;
1S2VCNASHA%OF38;BOTA ARRUGADA;UN;CALZADO;
1S2VCNASHA%OF39;BOTA ARRUGADA;UN;CALZADO;
1S2VCNASHA%OF40;BOTA ARRUGADA;UN;CALZADO;
1S2VCODIN%MB35;PLATAFORMA CON FAJA;UN;CALZADO;
1S2VCODIN%MB36;PLATAFORMA CON FAJA;UN;CALZADO;
1S2VCODIN%MB37;PLATAFORMA CON FAJA;UN;CALZADO;
1S2VCODIN%MB38;PLATAFORMA CON FAJA;UN;CALZADO;
1S2VCODIN%MB39;PLATAFORMA CON FAJA;UN;CALZADO;
1S2VCODIN%MB40;PLATAFORMA CON FAJA;UN;CALZADO;
1S2VCODIN%NG35;PLATAFORMA CON FAJA;UN;CALZADO;
1S2VCODIN%NG36;PLATAFORMA CON FAJA;UN;CALZADO;
1S2VCODIN%NG37;PLATAFORMA CON FAJA;UN;CALZADO;
1S2VCODIN%NG38;PLATAFORMA CON FAJA;UN;CALZADO;
1S2VCODIN%NG39;PLATAFORMA CON FAJA;UN;CALZADO;
1S2VCODIN%NG40;PLATAFORMA CON FAJA;UN;CALZADO;
1S2VCONOS%NG35;PLATAFORMA TIRA EN DEDO;UN;CALZADO;
1S2VCONOS%NG36;PLATAFORMA TIRA EN DEDO;UN;CALZADO;
1S2VCONOS%NG37;PLATAFORMA TIRA EN DEDO;UN;CALZADO;
1S2VCONOS%NG38;PLATAFORMA TIRA EN DEDO;UN;CALZADO;
1S2VCONOS%NG39;PLATAFORMA TIRA EN DEDO;UN;CALZADO;
1S2VCONOS%NG40;PLATAFORMA TIRA EN DEDO;UN;CALZADO;
1S2VCONOS%OF35;PLATAFORMA TIRA EN DEDO;UN;CALZADO;
1S2VCONOS%OF36;PLATAFORMA TIRA EN DEDO;UN;CALZADO;
1S2VCONOS%OF37;PLATAFORMA TIRA EN DEDO;UN;CALZADO;
1S2VCONOS%OF38;PLATAFORMA TIRA EN DEDO;UN;CALZADO;
1S2VCONOS%OF39;PLATAFORMA TIRA EN DEDO;UN;CALZADO;
1S2VCONOS%OF40;PLATAFORMA TIRA EN DEDO;UN;CALZADO;
1S2VCPARAN%EP35;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%EP36;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%EP37;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%EP38;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%EP39;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%EP40;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%NG35;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%NG36;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%NG37;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%NG38;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%NG39;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%NG40;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%OF35;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%OF36;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%OF37;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%OF38;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%OF39;BOTA CHELSEA;UN;CALZADO;
1S2VCPARAN%OF40;BOTA CHELSEA;UN;CALZADO;
1S2VCPOU%EP35;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%EP36;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%EP37;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%EP38;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%EP39;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%EP40;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%LV35;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%LV36;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%LV37;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%LV38;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%LV39;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%LV40;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%NG35;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%NG36;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%NG37;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%NG38;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%NG39;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%NG40;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%VD35;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%VD36;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%VD37;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%VD38;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%VD39;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPOU%VD40;SANDALIA DE TIRA Y PULSERA;UN;CALZADO;
1S2VCPULL%LR35;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%LR36;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%LR37;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%LR38;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%LR39;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%LR40;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%LV35;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%LV36;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%LV37;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%LV38;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%LV39;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%LV40;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%NG35;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%NG36;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%NG37;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%NG38;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%NG39;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%NG40;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%SQ35;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%SQ36;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%SQ37;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%SQ38;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%SQ39;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%SQ40;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%VD35;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%VD36;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%VD37;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%VD38;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%VD39;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCPULL%VD40;CHATA PULSERA GITANA;UN;CALZADO;
1S2VCRATTAN%BL35;BIRK CON APLIQUES;UN;CALZADO;
1S2VCRATTAN%BL36;BIRK CON APLIQUES;UN;CALZADO;
1S2VCRATTAN%BL37;BIRK CON APLIQUES;UN;CALZADO;
1S2VCRATTAN%BL38;BIRK CON APLIQUES;UN;CALZADO;
1S2VCRATTAN%BL39;BIRK CON APLIQUES;UN;CALZADO;
1S2VCRATTAN%BL40;BIRK CON APLIQUES;UN;CALZADO;
1S2VCRATTAN%NG35;BIRK CON APLIQUES;UN;CALZADO;
1S2VCRATTAN%NG36;BIRK CON APLIQUES;UN;CALZADO;
1S2VCRATTAN%NG37;BIRK CON APLIQUES;UN;CALZADO;
1S2VCRATTAN%NG38;BIRK CON APLIQUES;UN;CALZADO;
1S2VCRATTAN%NG39;BIRK CON APLIQUES;UN;CALZADO;
1S2VCRATTAN%NG40;BIRK CON APLIQUES;UN;CALZADO;
1S2VCREJI%BL35;PLATAFORMA DEPORTIVA;UN;CALZADO;
1S2VCREJI%BL36;PLATAFORMA DEPORTIVA;UN;CALZADO;
1S2VCREJI%BL37;PLATAFORMA DEPORTIVA;UN;CALZADO;
1S2VCREJI%BL38;PLATAFORMA DEPORTIVA;UN;CALZADO;
1S2VCREJI%BL39;PLATAFORMA DEPORTIVA;UN;CALZADO;
1S2VCREJI%BL40;PLATAFORMA DEPORTIVA;UN;CALZADO;
1S2VCREJI%LV35;PLATAFORMA DEPORTIVA;UN;CALZADO;
1S2VCREJI%LV36;PLATAFORMA DEPORTIVA;UN;CALZADO;
1S2VCREJI%LV37;PLATAFORMA DEPORTIVA;UN;CALZADO;
1S2VCREJI%LV38;PLATAFORMA DEPORTIVA;UN;CALZADO;
1S2VCREJI%LV39;PLATAFORMA DEPORTIVA;UN;CALZADO;
1S2VCREJI%LV40;PLATAFORMA DEPORTIVA;UN;CALZADO;
