Código;Descripción corta;UdM base;Tipo;Perfil logístico
1F1VIBUZIOS%KL40;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%NG35;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%NG36;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%NG37;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%NG38;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%NG39;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%NG40;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%RJ35;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%RJ36;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%RJ37;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%RJ38;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%RJ39;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%RJ40;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%RS35;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%RS36;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%RS37;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%RS38;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%RS39;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%RS40;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%VD35;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%VD36;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%VD37;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%VD38;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%VD39;OJOTA SRKNY;UN;CALZADO;
1F1VIBUZIOS%VD40;OJOTA SRKNY;UN;CALZADO;
1F1VIRICK%BL35;FLAT RICKY;UN;CALZADO;
1F1VIRICK%BL36;FLAT RICKY;UN;CALZADO;
1F1VIRICK%BL37;FLAT RICKY;UN;CALZADO;
1F1VIRICK%BL38;FLAT RICKY;UN;CALZADO;
1F1VIRICK%BL39;FLAT RICKY;UN;CALZADO;
1F1VIRICK%BL40;FLAT RICKY;UN;CALZADO;
1F1VIRICK%NG35;FLAT RICKY;UN;CALZADO;
1F1VIRICK%NG36;FLAT RICKY;UN;CALZADO;
1F1VIRICK%NG37;FLAT RICKY;UN;CALZADO;
1F1VIRICK%NG38;FLAT RICKY;UN;CALZADO;
1F1VIRICK%NG39;FLAT RICKY;UN;CALZADO;
1F1VIRICK%NG40;FLAT RICKY;UN;CALZADO;
1F1VIRICK%RJ35;FLAT RICKY;UN;CALZADO;
1F1VIRICK%RJ36;FLAT RICKY;UN;CALZADO;
1F1VIRICK%RJ37;FLAT RICKY;UN;CALZADO;
1F1VIRICK%RJ38;FLAT RICKY;UN;CALZADO;
1F1VIRICK%RJ39;FLAT RICKY;UN;CALZADO;
1F1VIRICK%RJ40;FLAT RICKY;UN;CALZADO;
1F1VIRICK%RS35;FLAT RICKY;UN;CALZADO;
1F1VIRICK%RS36;FLAT RICKY;UN;CALZADO;
